Animal Type,Sex,Intake Condition,Intake Type,Intake_Month,Season,Age_Months,Color_Simple,is_adopted
DOG,Female,ILL MILD,STRAY,2,Winter,121.7,WHITE,0
DOG,Neutered,NORMAL,STRAY,8,Summer,24.3,GRAY,1
CAT,Male,UNDER AGE/WEIGHT,STRAY,6,Summer,0.4,BLACK,0
CAT,Female,INJURED  SEVERE,STRAY,12,Winter,48.7,BLACK,0
CAT,Spayed,UNDER AGE/WEIGHT,STRAY,4,Spring,1.5,BRN TABBY,1
CAT,Female,NORMAL,STRAY,4,Spring,2.0,TORTIE DIL,0
CAT,Female,NORMAL,STRAY,4,Spring,2.0,GRAY,0
DOG,Male,NORMAL,STRAY,3,Spring,34.8,BLACK,0
DOG,Male,INJURED  MILD,STRAY,12,Winter,12.2,BROWN,0
CAT,Neutered,NORMAL,STRAY,2,Winter,60.8,ORG TABBY,1
DOG,Male,NORMAL,OWNER SURRENDER,3,Spring,12.2,CREAM,0
CAT,Spayed,NORMAL,STRAY,3,Spring,24.3,GRAY,0
DOG,Neutered,NORMAL,STRAY,8,Summer,53.4,TAN,0
CAT,Unknown,UNDER AGE/WEIGHT,STRAY,9,Fall,1.0,GRAY,0
CAT,Unknown,UNDER AGE/WEIGHT,STRAY,9,Fall,1.0,BLACK,0
CAT,Unknown,UNDER AGE/WEIGHT,STRAY,9,Fall,1.0,GRAY TABBY,0
CAT,Male,UNDER AGE/WEIGHT,STRAY,6,Summer,1.5,WHITE,0
CAT,Neutered,FERAL,STRAY,7,Summer,26.8,ORANGE,0
CAT,Spayed,INJURED  MODERATE,STRAY,4,Spring,36.5,SEAL PT,0
DOG,Spayed,AGED,OWNER SURRENDER,12,Winter,207.0,CREAM,0
CAT,Unknown,UNDER AGE/WEIGHT,STRAY,8,Summer,0.1,TORTIE,0
CAT,Unknown,UNDER AGE/WEIGHT,STRAY,9,Fall,1.0,BRN TABBY,0
CAT,Unknown,UNDER AGE/WEIGHT,STRAY,9,Fall,1.0,BRN TABBY,0
CAT,Male,UNDER AGE/WEIGHT,STRAY,4,Spring,1.5,GRAY TABBY,0
CAT,Spayed,NORMAL,STRAY,9,Fall,1.4,Other,1
CAT,Neutered,NORMAL,OWNER SURRENDER,4,Spring,24.9,BLACK,1
DOG,Spayed,NORMAL,OWNER SURRENDER,1,Winter,19.3,BROWN,0
CAT,Unknown,UNDER AGE/WEIGHT,STRAY,4,Spring,0.7,ORG TABBY,0
CAT,Spayed,ILL MILD,STRAY,9,Fall,24.3,BRN TABBY,1
CAT,Male,NORMAL,STRAY,9,Fall,1.1,BLACK,1
CAT,Spayed,NORMAL,STRAY,6,Summer,24.4,BLACK,0
CAT,Male,UNDER AGE/WEIGHT,STRAY,6,Summer,0.7,BLACK,0
CAT,Spayed,UNDER AGE/WEIGHT,STRAY,8,Summer,2.0,BLACK,0
CAT,Neutered,NORMAL,STRAY,8,Summer,2.0,BLACK,0
DOG,Neutered,NORMAL,STRAY,4,Spring,12.2,WHITE,1
DOG,Male,INJURED  SEVERE,STRAY,12,Winter,60.9,TAN,0
DOG,Spayed,NORMAL,OWNER SURRENDER,10,Fall,6.1,BLACK,1
CAT,Neutered,INJURED  MILD,STRAY,4,Spring,24.3,GRAY TABBY,1
DOG,Female,NORMAL,OWNER SURRENDER,3,Spring,12.2,TAN,0
DOG,Female,NORMAL,OWNER SURRENDER,3,Spring,3.5,TRICOLOR,0
DOG,Male,NORMAL,OWNER SURRENDER,3,Spring,3.5,BLACK,0
DOG,Unknown,NORMAL,OWNER SURRENDER,3,Spring,0.0,BLACK,0
DOG,Unknown,NORMAL,OWNER SURRENDER,3,Spring,0.0,BLACK,0
DOG,Female,NORMAL,OWNER SURRENDER,3,Spring,36.5,BLACK,0
DOG,Male,ILL SEVERE,OWNER SURRENDER,7,Summer,146.6,BLACK,0
DOG,Male,NORMAL,STRAY,7,Summer,6.0,BLACK,0
CAT,Female,NORMAL,STRAY,9,Fall,1.0,WHITE,0
CAT,Male,NORMAL,STRAY,9,Fall,1.0,GRAY,0
CAT,Unknown,ILL SEVERE,STRAY,3,Spring,2.0,BROWN,0
DOG,Neutered,NORMAL,STRAY,6,Summer,37.5,BROWN,1
CAT,Unknown,UNDER AGE/WEIGHT,STRAY,6,Summer,1.0,BRN TABBY,0
DOG,Unknown,UNDER AGE/WEIGHT,OWNER SURRENDER,11,Fall,0.1,GRAY,0
DOG,Unknown,UNDER AGE/WEIGHT,OWNER SURRENDER,11,Fall,0.1,GRAY,0
DOG,Unknown,UNDER AGE/WEIGHT,OWNER SURRENDER,11,Fall,0.1,GRAY,0
DOG,Unknown,UNDER AGE/WEIGHT,OWNER SURRENDER,11,Fall,0.1,GRAY,0
DOG,Unknown,UNDER AGE/WEIGHT,OWNER SURRENDER,11,Fall,0.1,GRAY,0
DOG,Unknown,UNDER AGE/WEIGHT,OWNER SURRENDER,11,Fall,0.1,GRAY,0
DOG,Female,INJURED  MILD,STRAY,8,Summer,24.3,BROWN,0
DOG,Neutered,NORMAL,SAFE KEEP,1,Winter,24.3,Other,0
CAT,Male,UNDER AGE/WEIGHT,STRAY,8,Summer,0.6,BRN TABBY,0
CAT,Spayed,NORMAL,STRAY,8,Summer,12.2,BRN TABBY,1
DOG,Spayed,NORMAL,STRAY,9,Fall,12.2,GRAY,1
DOG,Male,NORMAL,STRAY,3,Spring,48.0,BROWN,0
